0.333333333333 p
1.63333333333 p
1.83333333333 p
2.2 p
2.7 p
3.03333333333 p
3.46666666667 p
3.93333333333 p
4.4 p
5.13333333333 p
5.53333333333 p
6.0 p
6.53333333333 p
7.13333333333 p
7.73333333333 p
8.2 p
8.6 p
9.03333333333 p
9.36666666667 p
9.8 p
10.2666666667 p
10.6666666667 p
11.1666666667 p
11.9333333333 p
12.2 p
12.7 p
13.0666666667 p
13.6 p
14.0666666667 p
14.4333333333 p
14.8333333333 p
15.3 p
15.6666666667 p
16.1333333333 p
16.6666666667 p
17.1 p
17.4666666667 p
17.8 p
18.2333333333 p
18.6333333333 p
19.1666666667 p
19.5666666667 p
19.8666666667 p
20.4 p
20.9333333333 p
21.4 p
21.6333333333 p
21.9666666667 p
23.0 p
23.8333333333 p
24.3 p
25.0333333333 p
25.3 p
25.5333333333 p
25.8333333333 p
26.2 p
26.3666666667 p
26.8 p
28.2666666667 p
28.9333333333 p
29.2333333333 p
29.6333333333 p
30.2333333333 p
30.7666666667 p
31.3333333333 p
32.0666666667 p
32.4333333333 p
33.6 p
33.9 p
