1.3 p
2.13333333333 p
2.53333333333 p
3.83333333333 p
4.56666666667 p
4.73333333333 p
5.03333333333 p
5.9 p
6.33333333333 p
7.56666666667 p
8.53333333333 p
8.8 p
10.0 p
10.8333333333 p
11.3 p
12.1333333333 p
12.4333333333 p
12.6 p
13.5 p
13.8333333333 p
14.5666666667 p
14.9666666667 p
15.9333333333 p
16.1 p
16.4 p
17.0 p
17.2333333333 p
17.6333333333 p
18.4 p
19.0 p
19.9 p
20.2333333333 p
21.2333333333 p
21.5333333333 p
22.2666666667 p
22.8 p
23.3333333333 p
23.8 p
24.2666666667 p
24.8666666667 p
25.4 p
26.2333333333 p
26.6333333333 p
28.0 p
28.8333333333 p
29.4333333333 p
30.6 p
30.7666666667 p
30.9666666667 p
31.9 p
32.1 p
33.5 p
34.2666666667 p
